plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_u,psfmag_g,psfmag_r,psfmag_i,psfmag_z,psfmagErr_u,psfmagErr_g,psfmagErr_r,psfmagErr_i,psfmagErr_z,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
3185,54829,132,3586027568194756608,1237649961379889172,-226.533,5556.971,-1.522683,3.594245,5588.424,-1.515524,17.21009,16.06207,15.44267,15.24104,15.08966,0.01827009,0.0183846,0.01404907,0.01720725,0.01697579,46.6376482088224,-8.44305644053336,17.22419,16.01347,15.46389,15.22527,15.09939,3586027568194756608,STAR,F2,-0.0007691709,3185,54829,132,0.536,5621,4.03,-1.02,-0.0007799829,5.28804E-06
3185,54829,203,3586047084526149632,1237649961379823699,24.21686,6189.102,-1.016085,3.733778,6292.29,-0.7805728,20.66594,19.54564,19.06166,18.9017,18.78769,0.07145762,0.01914678,0.01579915,0.02349882,0.04919567,46.4128097761113,-8.42886620688408,20.67132,19.5284,19.06548,18.90672,18.79791,3586047084526149632,STAR,F5,0.0001017594,3185,54829,203,0.382,6275,4.03,-0.57,5.642858E-05,3.385289E-05
3185,54829,206,3586047909159870464,1237649961379823727,37.12122,5738.468,-1.05689,4.362967,5704.954,-1.05689,19.2965,18.20821,17.71733,17.49837,17.38114,0.03547926,0.01552421,0.01138726,0.01950092,0.01921699,46.5486934064996,-8.50906843084881,19.33097,18.20415,17.71711,17.49405,17.38258,3586047909159870464,STAR,G2,8.131832E-05,3185,54829,206,0.536,5621,4.03,-1.02,9.947289E-05,9.338369E-06
3185,54829,207,3586048184037777408,1237649961379889253,20.22291,5854.718,-0.5893419,3.961179,5933.642,-0.5682412,19.91316,18.74727,18.1934,17.9804,17.91221,0.04040676,0.0197026,0.01539125,0.01855423,0.02854668,46.5803187977696,-8.42145699254147,19.93163,18.72688,18.20649,17.99133,17.91745,3586048184037777408,STAR,G2,9.152891E-06,3185,54829,207,0.499,6155,4.5,-0.15,4.310619E-05,9.898083E-06
3185,54829,213,3586049833305219072,1237649961379889251,-1.361067,4491.163,-0.6898985,4.302055,4546.659,-0.5713153,21.21162,18.66397,17.55106,17.11557,16.85115,0.09137657,0.01955513,0.01464724,0.01762238,0.01959742,46.5710902366154,-8.47708215690191,21.21555,18.65062,17.56385,17.12688,16.86462,3586049833305219072,STAR,K5,-3.040569E-05,3185,54829,213,1.063,4353,4.522,-0.47,-2.889021E-05,3.74657E-06
3185,54829,247,3586059179154055168,1237649961379692718,-11.52727,4394.319,-0.2965359,4.093645,4412.863,-0.3069064,20.46552,17.78429,16.5717,16.11162,15.81442,0.06669416,0.01152739,0.01842317,0.02294014,0.02418467,46.2098453371473,-8.60500654752531,20.49333,17.81131,16.56857,16.09511,15.8136,3586059179154055168,STAR,K7,-6.00992E-05,3185,54829,247,1.069,4382,4.64,-0.28,-6.280102E-05,3.118639E-06
3185,54829,255,3586061378177310720,1237649961379758086,-137.7654,5329.584,-1.282592,3.115863,5319.837,-1.301909,18.99476,17.61129,17.0078,16.69949,16.61183,0.02849111,0.01047972,0.0130547,0.01810583,0.02069182,46.3086128899868,-8.44348496386301,18.97585,17.61675,17.00457,16.71149,16.60543,3586061378177310720,STAR,G2,-0.0004918099,3185,54829,255,0.581,5506,3.8,-0.5,-0.000483886,6.312605E-06
3185,54829,294,3586072098415681536,1237649961379692701,49.79971,5960.779,-1.755946,3.566221,6006.824,-1.755946,20.4512,19.39074,18.98982,18.75282,18.75121,0.07222855,0.01547227,0.02152951,0.02647956,0.05474607,46.1307193081507,-8.49403394482649,20.4251,19.34678,18.9487,18.7325,18.71521,3586072098415681536,STAR,F5,0.0001137582,3185,54829,294,0,6500,4,-1.5,0.0001417638,4.710293E-05
3185,54829,3,3585992108944760832,1237649961380282506,-1.089086,6032.574,-1.239487,2.404441,6174.497,-1.239487,20.63205,19.69988,19.19133,19.02033,18.88697,0.06754477,0.02467716,0.02323469,0.02518822,0.05359516,47.6085531098122,-8.42859152529012,20.62028,19.67588,19.19146,19.02013,18.89212,3585992108944760832,STAR,F2,-7.628199E-07,3185,54829,3,0,6000,4,-1,-2.798298E-05,4.614417E-05
3185,54829,7,3585993208456388608,1237649961380282484,93.55855,5313.989,-1.646689,2.457605,5391.995,-1.593323,19.34889,18.04861,17.4088,17.13073,16.97062,0.03824385,0.0210983,0.02011325,0.0196568,0.01838615,47.5600571102099,-8.45122886879924,19.32678,18.01379,17.38533,17.10916,16.94707,3585993208456388608,STAR,G2,0.0002773329,3185,54829,7,0.638,5257,3.15,-1.48,0.0002877275,1.283653E-05
3185,54829,12,3585994582845923328,1237649961380282441,-1.31892,5952.185,-1.338047,4.291525,5976.661,-1.347538,18.18351,17.26105,16.82163,16.66037,16.57466,0.024862,0.02076783,0.01992624,0.01943192,0.01679581,47.5704693679077,-8.3520681745053,18.17745,17.20078,16.79173,16.64304,16.554,3585994582845923328,STAR,F5,-4.014809E-05,3185,54829,12,0,6000,4,-1,-2.874962E-05,6.777841E-06
