plate,mjd,fiberid,specobjid,bestobjid,elodiervfinal,teffadop,fehadop,loggadop,teffspec,fehspec,psfmag_g,psfmag_r,psfmag_i,psfmagErr_g,psfmagErr_r,psfmagErr_i,ra,dec,u,g,r,i,z,specobjid1,class,subclass,z1,plate1,mjd1,fiberid1,elodieBV,elodieTEff,elodieLogG,elodieFeH,elodieZ,elodieZErr
2946,54506,87,3316925115534436352,1237651274026057796,10.71298,6800.25,-0.2822869,4.034259,6867.053,-0.2113234,14.3993,14.15031,14.09894,0.01512349,0.0135231,0.01387553,111.56905962296,36.7018499891804,15.48302,14.39632,14.16306,14.09828,14.09551,3316925115534436352,STAR,F5,4.748204E-05,2946,54506,87,0.359,6767,4.083,-0.21,1.138447E-05,2.623861E-06
2946,54506,88,3316925390412343296,1237651274026058087,-4.877136,6775.515,-0.9112427,3.265991,6842.269,-0.869099,19.05839,18.82141,18.7338,0.01728439,0.0159807,0.01765288,111.636096211476,36.6645411160796,20.15075,19.05023,18.81503,18.72736,18.726,3316925390412343296,STAR,F5,-5.355327E-05,2946,54506,88,0,6500,4,-1,-4.061855E-05,1.535456E-05
2946,54506,92,3316926489923971072,1237651274025927099,5.550705,6235.149,-0.562414,4.011759,6098.849,-0.6464382,18.83588,18.60828,18.52944,0.02496664,0.06585933,0.1044232,111.546147560349,36.3815120568494,19.9694,18.83059,18.61199,18.55712,18.57398,3316926489923971072,STAR,G2,-2.414657E-05,2946,54506,92,0.499,6155,4.5,-0.15,-5.835021E-06,1.040431E-05
2946,54506,94,3316927039679784960,1237651274025927261,-142.7375,5049.458,-1.918688,4.583085,5018.101,-1.918688,18.71051,18.02879,17.74951,0.01852991,0.01256097,0.01716358,111.429882455146,36.5380082058371,20.2128,18.69963,18.03484,17.75648,17.56454,3316927039679784960,STAR,F9,-0.0005029594,2946,54506,94,0.754,5047,4.59,-1.34,-0.0005004712,8.446891E-06
2946,54506,105,3316930063336761344,1237651274026123430,15.93296,6218.417,-0.3253952,3.813057,6257.022,-0.3149463,15.99811,15.6431,15.52164,0.01505512,0.01708018,0.008216758,111.693268118408,36.8892572573048,17.11539,15.9908,15.64375,15.52492,15.4059,3316930063336761344,STAR,F5,2.329538E-05,2946,54506,105,0.468,6010,3.98,-0.49,2.879644E-05,3.155417E-06
2946,54506,129,3316936660406528000,1237651274025796066,56.23123,5320.722,-0.7236373,4.301184,5210.696,-0.7624742,19.27629,18.63754,18.44577,0.03721043,0.0146049,0.01665647,111.216217932008,36.2303481750921,20.55112,19.25679,18.60607,18.42764,18.31016,3316936660406528000,STAR,F9,0.0001692231,2946,54506,129,0.692,5285,4.62,-0.71,0.000163217,1.312167E-05
2946,54506,1,3316901476034439168,1237651496826896736,-33.20192,4769.195,0.02394281,4.301293,4766.539,0.07950881,17.62503,16.66033,16.33362,0.01186599,0.0138982,0.01248614,111.936012083887,36.6071495695205,20.1558,17.63114,16.6491,16.32779,16.15217,3316901476034439168,STAR,K3,-0.0001395731,2946,54506,1,1.038,4528,4.251,0.07,-0.0001350999,3.870719E-06
2946,54506,12,3316904499691415552,1237651496827027836,-76.26656,5427.83,-0.6388773,4.440078,5395.204,-0.703828,18.85417,18.28765,18.05702,0.01870475,0.01049505,0.01282152,112.071750791085,36.8069401614727,20.2764,18.85143,18.27286,18.05009,17.94769,3316904499691415552,STAR,F9,-0.0002872104,2946,54506,12,0.692,5285,4.62,-0.71,-0.000278748,6.948755E-06
2946,54506,15,3316905324325136384,1237651496290091185,-9999,5149.665,-0.6708192,4.262693,4981.959,-0.827377,21.65988,20.3435,18.7839,2.518587,1.180393,0.7720337,112.344702107669,36.6327644927092,24.06492,21.60356,20.30734,18.74831,17.9953,3316905324325136384,GALAXY,,8.326107E-05,2946,54506,15,0,0,0,0,0,0
2946,54506,20,3316906698714671104,1237651496826962170,50.95683,6207.837,-0.3650093,4.116265,6215.397,-0.3673037,16.17666,15.78732,15.66356,0.01743773,0.0106203,0.01220587,111.984911361213,36.7933671942321,17.30721,16.16378,15.80275,15.66133,15.63875,3316906698714671104,STAR,F5,0.0001390936,2946,54506,20,0.472,6112,4.338,-0.17,0.0001456235,3.272086E-06
2946,54506,28,3316908897737926656,1237651496290288103,-19.11844,6055.914,-0.961526,3.716837,6057.296,-0.961526,19.60221,19.21456,19.07973,0.01805239,0.01678606,0.01849997,112.64595440343,36.978125081238,20.70547,19.60235,19.22114,19.0717,19.03172,3316908897737926656,STAR,F5,-0.0001324875,2946,54506,28,0,6000,4,-1.5,-8.812243E-05,2.364121E-05
2946,54506,36,3316911096761182208,1237651496290222411,55.49019,4997.878,-0.4262937,4.617869,4992.724,-0.4262937,18.01906,17.23067,16.94942,0.01482405,0.01003894,0.01264059,112.485747162856,36.8278003190174,19.9453,18.01745,17.22952,16.96301,16.82009,3316911096761182208,STAR,K1,0.0001550176,2946,54506,36,0.871,4955,4.47,-0.23,0.0001607452,3.374398E-06
2946,54506,41,3316912471150716928,1237651496826831279,14.2071,5010.746,-0.3784728,4.453922,4989.664,-0.3209655,18.95197,18.20784,17.91346,0.01701865,0.01287736,0.01562827,111.871886900334,36.4584703518739,20.90895,18.95354,18.19835,17.90885,17.75819,3316912471150716928,STAR,K1,1.182764E-05,2946,54506,41,0.871,4955,4.47,-0.23,2.303962E-05,5.527687E-06
